From,To,Distance,Duration
nei-lu-CDC,cheng-du-DC,1841,1279
nei-lu-CDC,dong-guan-DC,2131,1386
nei-lu-CDC,guang-zhou-DC,2122,1391
nei-lu-CDC,nei-lu-CDC,0,0
nei-lu-CDC,nan-jing-DC,999,738
nei-lu-CDC,qing-dao-DC,651,491
nei-lu-CDC,gang-kou-CDC,2018,1371
nei-lu-CDC,shang-hai-DC,1154,885
nei-lu-CDC,shen-zhen-DC,2147,1398
nei-lu-CDC,tian-jin-DC,91,115
nei-lu-CDC,xi-an-DC,1071,813
nei-lu-CDC,chang-sha-DC,1461,1026
nei-lu-CDC,zheng-zhou-DC,698,496
nei-lu-CDC,hang-zhou-DC,1276,949
nei-lu-CDC,wu-han-DC,1132,832
nei-lu-CDC,da-lian-DC,837,682
nei-lu-CDC,ha-er-bin-DC,1346,1003
nei-lu-CDC,bei-jing-DC,57,110
nei-lu-CDC,ning-bo-DC,1327,976
nei-lu-CDC,chong-qing-DC,1752,1247
gang-kou-CDC,cheng-du-DC,2055,1349
gang-kou-CDC,dong-guan-DC,598,421
gang-kou-CDC,guang-zhou-DC,648,449
gang-kou-CDC,nei-lu-CDC,2046,1305
gang-kou-CDC,nan-jing-DC,1160,852
gang-kou-CDC,qing-dao-DC,1694,1148
gang-kou-CDC,gang-kou-CDC,0,0
gang-kou-CDC,shang-hai-DC,1028,801
gang-kou-CDC,shen-zhen-DC,577,404
gang-kou-CDC,tian-jin-DC,1997,1298
gang-kou-CDC,xi-an-DC,1820,1212
gang-kou-CDC,chang-sha-DC,889,649
gang-kou-CDC,zheng-zhou-DC,1532,1032
gang-kou-CDC,hang-zhou-DC,934,696
gang-kou-CDC,wu-han-DC,1031,757
gang-kou-CDC,da-lian-DC,2805,1732
gang-kou-CDC,ha-er-bin-DC,3311,2024
gang-kou-CDC,bei-jing-DC,2071,1332
gang-kou-CDC,ning-bo-DC,834,624
gang-kou-CDC,chong-qing-DC,1753,1209
cheng-du-DC,bo-zhou-shi,1461,1047
cheng-du-DC,chu-zhou-shi,1657,1122
cheng-du-DC,fu-yang-shi,1442,1019
cheng-du-DC,he-fei-shi,1515,1023
cheng-du-DC,lu-an-shi,1437,984
cheng-du-DC,wu-hu-shi,1647,1117
cheng-du-DC,su-zhou-shi,1583,1084
cheng-du-DC,bei-jing-shi,1873,1301
cheng-du-DC,fu-zhou-shi,2042,1372
cheng-du-DC,ning-de-shi,2072,1380
cheng-du-DC,quan-zhou-shi,2032,1352
cheng-du-DC,gang-kou-CDC-suo-zai-cheng-shi,2030,1356
cheng-du-DC,zhang-zhou-shi,1979,1329
cheng-du-DC,lan-zhou-shi,970,819
cheng-du-DC,dong-guan-shi,1650,1108
cheng-du-DC,fo-shan-shi,1571,1075
cheng-du-DC,guang-zhou-shi,1573,1076
cheng-du-DC,hui-zhou-shi,1704,1147
cheng-du-DC,jiang-men-shi,1608,1091
cheng-du-DC,jie-yang-shi,1924,1261
cheng-du-DC,shan-tou-shi,1975,1290
cheng-du-DC,shen-zhen-shi,1710,1145
cheng-du-DC,zhan-jiang-shi,1536,1035
cheng-du-DC,zhong-shan-shi,1650,1112
cheng-du-DC,zhu-hai-shi,1686,1130
cheng-du-DC,nan-ning-shi,1228,856
cheng-du-DC,gui-yang-shi,637,454
cheng-du-DC,bao-ding-shi,1712,1209
cheng-du-DC,cang-zhou-shi,1768,1246
cheng-du-DC,cheng-de-shi,2098,1427
cheng-du-DC,han-dan-shi,1437,1057
cheng-du-DC,nei-lu-CDC-suo-zai-cheng-shi,1855,1289
cheng-du-DC,shi-jia-zhuang-shi,1567,1135
cheng-du-DC,tang-shan-shi,1982,1373
cheng-du-DC,xing-tai-shi,1497,1098
cheng-du-DC,zhang-jia-kou-shi,1885,1308
cheng-du-DC,luo-yang-shi,1127,910
cheng-du-DC,nan-yang-shi,1106,851
cheng-du-DC,shang-qiu-shi,1463,1039
cheng-du-DC,xin-xiang-shi,1308,1001
cheng-du-DC,xin-yang-shi,1284,939
cheng-du-DC,zheng-zhou-shi,1244,971
cheng-du-DC,zhou-kou-shi,1335,962
cheng-du-DC,da-qing-shi,3101,1944
cheng-du-DC,ha-er-bin-shi,3185,2014
cheng-du-DC,wu-han-shi,1156,822
cheng-du-DC,xiang-yang-shi,1034,815
cheng-du-DC,heng-yang-shi,1247,899
cheng-du-DC,chang-sha-shi,1187,875
cheng-du-DC,ji-lin-shi,2917,1846
cheng-du-DC,chang-chun-shi,2823,1785
cheng-du-DC,chang-zhou-shi,1798,1189
cheng-du-DC,huai-an-shi,1798,1200
cheng-du-DC,lian-yun-gang-shi,1814,1214
cheng-du-DC,nan-jing-shi,1665,1135
cheng-du-DC,nan-tong-shi,1906,1257
cheng-du-DC,su-zhou-shi,1882,1249
cheng-du-DC,tai-zhou-shi,1808,1197
cheng-du-DC,wu-xi-shi,1839,1222
cheng-du-DC,su-qian-shi,1722,1175
cheng-du-DC,xu-zhou-shi,1621,1119
cheng-du-DC,yan-cheng-shi,1924,1264
cheng-du-DC,yang-zhou-shi,1753,1173
cheng-du-DC,zhen-jiang-shi,1761,1189
cheng-du-DC,gan-zhou-shi,1650,1137
cheng-du-DC,jiu-jiang-shi,1376,1011
cheng-du-DC,nan-chang-shi,1465,1078
cheng-du-DC,shang-rao-shi,1696,1210
cheng-du-DC,an-shan-shi,2506,1639
cheng-du-DC,da-lian-shi,2676,1733
cheng-du-DC,shen-yang-shi,2530,1639
cheng-du-DC,bao-tou-shi,1609,1163
cheng-du-DC,hu-he-hao-te-shi,1741,1240
cheng-du-DC,de-zhou-shi,1688,1188
cheng-du-DC,dong-ying-shi,1874,1311
cheng-du-DC,he-ze-shi,1429,1069
cheng-du-DC,ji-nan-shi,1682,1206
cheng-du-DC,ji-ning-shi,1555,1149
cheng-du-DC,liao-cheng-shi,1555,1142
cheng-du-DC,lin-yi-shi,1743,1262
cheng-du-DC,qing-dao-shi,2049,1359
cheng-du-DC,ri-zhao-shi,1910,1260
cheng-du-DC,tai-an-shi,1650,1190
cheng-du-DC,wei-hai-shi,2173,1489
cheng-du-DC,wei-fang-shi,1858,1307
cheng-du-DC,yan-tai-shi,2105,1455
cheng-du-DC,zi-bo-shi,1769,1253
cheng-du-DC,lin-fen-shi,1128,875
cheng-du-DC,tai-yuan-shi,1398,1030
cheng-du-DC,yun-cheng-shi,1005,795
cheng-du-DC,xi-an-shi,785,636
cheng-du-DC,xian-yang-shi,772,619
cheng-du-DC,shang-hai-shi,1966,1287
cheng-du-DC,cheng-du-shi,0,0
cheng-du-DC,mian-yang-shi,147,138
cheng-du-DC,tian-jin-shi,1867,1285
cheng-du-DC,kun-ming-shi,860,702
cheng-du-DC,hang-zhou-shi,1887,1251
cheng-du-DC,hu-zhou-shi,1824,1209
cheng-du-DC,jia-xing-shi,1907,1255
cheng-du-DC,jin-hua-shi,1790,1258
cheng-du-DC,ning-bo-shi,2056,1336
cheng-du-DC,shao-xing-shi,1954,1301
cheng-du-DC,tai-zhou-shi,2013,1413
cheng-du-DC,wen-zhou-shi,1987,1375
cheng-du-DC,chong-qing-shi,317,248
dong-guan-DC,bo-zhou-shi,1468,990
dong-guan-DC,chu-zhou-shi,1372,947
dong-guan-DC,fu-yang-shi,1360,932
dong-guan-DC,he-fei-shi,1228,844
dong-guan-DC,lu-an-shi,1224,854
dong-guan-DC,wu-hu-shi,1256,896
dong-guan-DC,su-zhou-shi,1461,972
dong-guan-DC,bei-jing-shi,2160,1347
dong-guan-DC,fu-zhou-shi,831,585
dong-guan-DC,ning-de-shi,923,655
dong-guan-DC,quan-zhou-shi,664,474
dong-guan-DC,gang-kou-CDC-suo-zai-cheng-shi,597,426
dong-guan-DC,zhang-zhou-shi,545,398
dong-guan-DC,lan-zhou-shi,2331,1537
dong-guan-DC,dong-guan-shi,0,0
dong-guan-DC,fo-shan-shi,92,116
dong-guan-DC,guang-zhou-shi,64,97
dong-guan-DC,hui-zhou-shi,92,114
