,From,To,TimeIndi
0,nei-lu-CDC,cheng-du-DC,0
1,nei-lu-CDC,dong-guan-DC,0
2,nei-lu-CDC,guang-zhou-DC,0
3,nei-lu-CDC,nei-lu-CDC,1
4,nei-lu-CDC,nan-jing-DC,0
5,nei-lu-CDC,qing-dao-DC,1
6,nei-lu-CDC,gang-kou-CDC,0
7,nei-lu-CDC,shang-hai-DC,0
8,nei-lu-CDC,shen-zhen-DC,0
9,nei-lu-CDC,tian-jin-DC,1
10,nei-lu-CDC,xi-an-DC,0
11,nei-lu-CDC,chang-sha-DC,0
12,nei-lu-CDC,zheng-zhou-DC,1
13,nei-lu-CDC,hang-zhou-DC,0
14,nei-lu-CDC,wu-han-DC,0
15,nei-lu-CDC,da-lian-DC,0
16,nei-lu-CDC,ha-er-bin-DC,0
17,nei-lu-CDC,bei-jing-DC,1
18,nei-lu-CDC,ning-bo-DC,0
19,nei-lu-CDC,chong-qing-DC,0
20,gang-kou-CDC,cheng-du-DC,0
21,gang-kou-CDC,dong-guan-DC,1
22,gang-kou-CDC,guang-zhou-DC,1
23,gang-kou-CDC,nei-lu-CDC,0
24,gang-kou-CDC,nan-jing-DC,0
25,gang-kou-CDC,qing-dao-DC,0
26,gang-kou-CDC,gang-kou-CDC-suo-zai-cheng-shi,1
27,gang-kou-CDC,shang-hai-DC,0
28,gang-kou-CDC,shen-zhen-DC,1
29,gang-kou-CDC,tian-jin-DC,0
30,gang-kou-CDC,xi-an-DC,0
31,gang-kou-CDC,chang-sha-DC,0
32,gang-kou-CDC,zheng-zhou-DC,0
33,gang-kou-CDC,hang-zhou-DC,0
34,gang-kou-CDC,wu-han-DC,0
35,gang-kou-CDC,da-lian-DC,0
36,gang-kou-CDC,ha-er-bin-DC,0
37,gang-kou-CDC,bei-jing-DC,0
38,gang-kou-CDC,ning-bo-DC,0
39,gang-kou-CDC,chong-qing-DC,0
40,cheng-du-DC,bo-zhou-shi,0
41,cheng-du-DC,chu-zhou-shi,0
42,cheng-du-DC,fu-yang-shi,0
43,cheng-du-DC,he-fei-shi,0
44,cheng-du-DC,lu-an-shi,0
45,cheng-du-DC,wu-hu-shi,0
46,cheng-du-DC,su-zhou-shi1,0
47,cheng-du-DC,bei-jing-shi,0
48,cheng-du-DC,fu-zhou-shi,0
49,cheng-du-DC,ning-de-shi,0
