block_i,field_j,field_id,q,p,c,r,i,o,m,s,e,npv_c,npv_i,revenue
0,0,B0F0,1256415.8522959554,4710682890.280728,4764852703.871591,49.67616816245656,541698135.9086242,415346049.20491904,34624874.30175603,186643745.3004182,38512675.50520863,29277957187.73738,541698135.9086242,5439980048.183892
0,1,B0F1,428485.7303253067,1558579531.601906,1582137825.2605793,46.53531430273741,235582936.58673245,120523340.2888129,10364267.741117582,123634119.19681512,18581146.39563057,9721552037.787296,235582936.58673245,1855240698.8829553
0,2,B0F2,1794722.4727061063,6638302614.904557,6729847734.548199,26.858512886280018,915451196.4364129,640636188.5245844,40602094.83297925,304678696.460081,54954212.578013435,41352001016.106026,915451196.4364129,7770718926.943857
0,3,B0F3,2089534.293662884,8133840045.893364,8216107098.984173,40.42706973805374,822670530.9080864,472287347.7699435,36192463.87236731,284954637.9313094,37642030.62913086,50484421417.36486,822670530.9080864,9047183579.186924
0,4,B0F4,206730.6152412967,787510515.5864723,798874041.4672021,57.71131079255143,113635258.80729781,42285179.218733,2607497.265115565,46718630.1067321,4608756.49871329,4908735156.800727,113635258.80729781,895094104.556496
0,5,B0F5,347408.42862412316,1326911208.147923,1345720918.6321666,58.8570420248991,188097104.84243676,75738362.88743053,6040864.010485851,67443444.82556447,9251789.56779317,8268872490.0858965,188097104.84243676,1504195379.9234405
0,6,B0F6,1090636.8204332872,3955666909.64425,4001063959.876012,40.52295702185238,453970502.3176203,374747449.40515757,27429432.88348563,298403103.9667988,20552556.029711597,24584805995.674656,453970502.3176203,4722196502.161166
0,7,B0F7,764521.881659276,2816263127.593899,2845811778.380237,40.28173144288647,295486507.86338323,223527426.1653283,14703850.368154068,206324763.8821634,19829020.114103146,17486281442.462143,295486507.86338323,3310196838.9099865
1,0,B1F0,971463.5948824481,3715525392.9197326,3764559886.839685,45.1739365159553,490344939.1995258,225626651.41910374,14470817.699307704,179544195.61462867,22003395.650965154,23131590848.130463,490344939.1995258,4206204947.2236905
1,1,B1F1,497606.48751922377,1818633302.7805152,1835647749.6808195,28.58484940390041,170144469.0030421,149385923.62965357,12474588.50500802,146757030.60962042,10251748.254359253,11279260780.349585,170144469.0030421,2154517040.6794605
1,2,B1F2,1989747.6505486942,7661658713.514929,7733284149.317397,65.86715113659989,716254358.0246861,444872440.3421069,29728030.82925476,358705753.4256402,48540914.12666947,47517683402.96308,716254358.0246861,8615131288.041069
1,3,B1F3,1834410.1586002344,6779635941.216742,6835073408.647397,40.777295955897856,554374674.3065503,611219677.4865583,59291245.4648172,401911539.9420743,35061240.21110059,41998567231.85156,554374674.3065503,7942557111.751947
1,4,B1F4,1038018.9076961658,3906375750.5732627,3962021589.2873755,61.42511381985259,556458387.1411263,299840185.12976515,24959430.29576506,180847314.95074803,26705008.962157976,24344907529.626987,556458387.1411263,4494373528.625812
1,5,B1F5,2426093.638343274,8890842824.035612,9012015346.19466,30.839694427602584,1211725221.590484,648595321.1011554,47914844.55617203,708435381.729539,87444127.65060116,55374933052.33349,1211725221.590484,10504405021.232128
1,6,B1F6,1431176.6181398868,5448368320.582083,5521580105.180633,43.23492348232116,732117845.9854974,367408010.0067504,30728763.992698953,226700267.41407627,50235206.90889943,33927719485.80631,732117845.9854974,6196652353.503057
1,7,B1F7,495125.2449726568,1859487783.051877,1885938299.9833171,69.47991354169092,264505169.31440204,161438813.65852958,9833586.014946034,68164344.0873451,18398810.33562869,11588274441.466097,264505169.31440204,2143773854.0797665
2,0,B2F0,1322455.2798253582,4978868050.949765,5036748577.055201,66.69339859354103,578805261.0543555,356491124.2137488,35058181.51498051,271430599.8580973,26186487.086307324,30948639626.278244,578805261.0543555,5725914969.728334
2,1,B2F1,457208.0963677158,1703101437.7613063,1724618673.0381634,46.156357473199705,215172352.76857093,99456469.82500285,7886116.07841244,137968383.2040455,9672029.994563013,10597035168.234356,215172352.76857093,1979601672.1401875
2,2,B2F2,1988239.7172478028,7452641488.346023,7520627178.18434,34.73478531066988,679856898.3831685,430908576.5870067,39346007.49997752,565301867.4489726,52418667.894673295,46210998373.34011,679856898.3831685,8608602297.61497
2,3,B2F3,946058.1081100003,3406630180.371483,3438262486.755517,60.84214712795659,316323063.84034276,371213838.5658283,23501251.147380065,245544242.538034,17683448.649086304,21126634576.896324,316323063.84034276,4096205267.6558456
2,4,B2F4,849251.0387530979,3021162424.812551,3063669213.26333,38.201795002495246,425067884.5077909,324172826.82550806,25760825.881770074,241331291.72709092,22119660.33074009,18824921070.577995,425067884.5077909,3677053818.028439
2,5,B2F5,571063.8846774074,2060232919.1396737,2085435616.5661025,53.00626715024853,252026974.26428804,194128271.72957373,15458100.333360698,162541474.05363995,15006533.315521628,12814099090.617033,252026974.26428804,2472569995.9981985
2,6,B2F6,2618292.8278610334,9856611244.755257,9979558638.900522,45.851938711741866,1229473941.4526477,637681990.2950656,62182321.03209645,575380650.0503995,81777928.71067983,61320067742.03912,1229473941.4526477,11336581528.988764
2,7,B2F7,870111.3007501989,3153553040.271743,3199625403.821209,36.46826801410872,460723635.49466187,342680523.82011855,28397634.1680427,160630125.66996738,36040074.26578366,19660313006.89686,460723635.49466187,3767373761.745121
3,0,B3F0,698952.2746457802,2521856530.5112596,2556134233.156346,76.47339852382522,342777026.4508624,248652398.07102597,19628514.885622572,184242413.19024423,17638568.493582495,15706338326.818142,342777026.4508624,3026296127.796821
3,1,B3F1,742882.4933736833,2700478430.939229,2735102239.103673,38.53614603073636,346238081.6444413,255089532.9142499,18029479.862758327,181624533.76225027,26657679.123921864,16806019249.135649,346238081.6444413,3216503464.7668533
3,2,B3F2,1507325.3524626985,5671307119.099602,5741814093.59359,42.35177411023497,705069744.9398832,430746756.9395878,31557696.22865587,293335711.283961,28903896.807637047,35280962006.56671,705069744.9398832,6526358154.853432
3,3,B3F3,1318961.5118669476,5075405484.885658,5127001284.66785,35.76182754843132,515957997.82191527,331956055.81898457,26830977.633068938,192902797.49251926,32096674.725420427,31503203444.67571,515957997.82191527,5710787790.337843
3,4,B3F4,1369814.7768394616,5186804732.331458,5229165617.392082,27.646023776728413,423608850.6062457,296060036.3032026,22961367.89306431,355096586.8895868,27686652.75913746,32130959042.909298,423608850.6062457,5930970261.237073
3,5,B3F5,1389781.08848624,5131148980.780654,5191050660.492288,13.194639663822866,599016797.1163385,524265753.6663278,31909164.15,243695990.6689281,26498044.829362016,31896759132.50747,599016797.1163385,6017419613.810755
3,6,B3F6,5461959.033408976,20126625486.713673,20325645838.480076,32.64459894085921,1990203517.6640139,1497544540.0180962,139349030.78261808,1595656139.3431733,90780315.09632653,124892294821.32791,1990203517.6640139,23648975863.72029
3,7,B3F7,711313.1066559723,2723170324.54193,2753227471.103381,28.259785627244803,300571465.6145082,171051364.06836468,16394662.742011907,122080264.37638225,17061810.833257467,16917390953.464321,300571465.6145082,3079815573.123398
4,0,B4F0,653570.5848807503,2484186904.7913294,2520526796.709799,24.0985837998587,363398919.1846967,170706966.9350064,11200077.88003441,98789364.90001577,28581062.069571666,15487546044.11022,363398919.1846967,2829804268.494427
4,1,B4F1,513487.9375393423,1876018854.9919498,1895027246.2413104,46.74274823986423,190083912.49360508,162182039.8755487,13325110.869490735,140610242.1884768,12135280.521002902,11644122081.66848,190083912.49360508,2223279919.6958294
4,2,B4F2,1611673.3387531936,6239761955.773491,6290931105.166781,48.19331237103984,511691493.93290263,371622582.6334297,23911322.851289473,252130498.41613424,39564461.602704175,38655048333.0622,511691493.93290263,6978159970.670339
4,3,B4F3,2429455.7867787816,9010110339.32099,9103502304.667728,38.037157950028906,933919653.4673871,880546979.2515886,76510378.08541584,390997532.73156536,67405124.84157452,55937080807.96808,933919653.4673871,10518962319.577871
4,4,B4F4,898823.5619758436,3287637572.139578,3322518948.612745,40.63770291386978,348813764.73167014,316119757.52211386,22523327.67349539,210055233.72548568,20473716.02945955,20415440639.72637,348813764.73167014,3891690983.563299
4,5,B4F5,502763.3284788999,1804595642.973665,1829662163.3316095,57.14520362663887,250665203.57944393,172896583.7860122,14934271.859536786,141456785.57106906,17895123.733918004,11242481943.359873,250665203.57944393,2176844928.2821455
4,6,B4F6,509107.78295454674,1928594971.6466837,1952375887.258706,52.99283365507782,237809156.12022427,145817942.4929081,12989430.903924027,83449601.35523292,9682036.266627619,11996504654.820837,237809156.12022427,2204314898.2773986
4,7,B4F7,1656925.3270738334,6162725770.892045,6251399354.599747,74.29271308211901,886735837.0770209,530898975.64742124,48176905.182567015,304274309.10287875,39340709.21644066,38412142838.89708,886735837.0770209,7174090253.749053
