Name,Type,Location
bo-zhou-shi,Customer,bo-zhou
chu-zhou-shi,Customer,chu-zhou
fu-yang-shi,Customer,fu-yang
he-fei-shi,Customer,he-fei
lu-an-shi,Customer,lu-an
wu-hu-shi,Customer,wu-hu
su-zhou-shi,Customer,su-zhou
bei-jing-shi,Customer,bei-jing
fu-zhou-shi,Customer,fu-zhou
ning-de-shi,Customer,ning-de
quan-zhou-shi,Customer,quan-zhou
zhang-zhou-shi,Customer,zhang-zhou
lan-zhou-shi,Customer,lan-zhou
dong-guan-shi,Customer,dong-guan
fo-shan-shi,Customer,fo-shan
guang-zhou-shi,Customer,guang-zhou
hui-zhou-shi,Customer,hui-zhou
jiang-men-shi,Customer,jiang-men
jie-yang-shi,Customer,jie-yang
shan-tou-shi,Customer,shan-tou
shen-zhen-shi,Customer,shen-zhen
zhan-jiang-shi,Customer,zhan-jiang
zhong-shan-shi,Customer,zhong-shan
zhu-hai-shi,Customer,zhu-hai
nan-ning-shi,Customer,nan-ning
gui-yang-shi,Customer,gui-yang
bao-ding-shi,Customer,bao-ding
cang-zhou-shi,Customer,cang-zhou
cheng-de-shi,Customer,cheng-de
han-dan-shi,Customer,han-dan
shi-jia-zhuang-shi,Customer,shi-jia-zhuang
tang-shan-shi,Customer,tang-shan
xing-tai-shi,Customer,xing-tai
zhang-jia-kou-shi,Customer,zhang-jia-kou
luo-yang-shi,Customer,luo-yang
nan-yang-shi,Customer,nan-yang
shang-qiu-shi,Customer,shang-qiu
xin-xiang-shi,Customer,xin-xiang
xin-yang-shi,Customer,xin-yang
zheng-zhou-shi,Customer,zheng-zhou
zhou-kou-shi,Customer,zhou-kou
da-qing-shi,Customer,da-qing
ha-er-bin-shi,Customer,ha-er-bin
wu-han-shi,Customer,wu-han
xiang-yang-shi,Customer,xiang-yang
heng-yang-shi,Customer,heng-yang
chang-sha-shi,Customer,chang-sha
ji-lin-shi,Customer,ji-lin
chang-chun-shi,Customer,chang-chun
chang-zhou-shi,Customer,chang-zhou
huai-an-shi,Customer,huai-an
lian-yun-gang-shi,Customer,lian-yun-gang
nan-jing-shi,Customer,nan-jing
nan-tong-shi,Customer,nan-tong
su-zhou-shi,Customer,su-zhou
tai-zhou-shi,Customer,tai-zhou
wu-xi-shi,Customer,wu-xi
su-qian-shi,Customer,su-qian
xu-zhou-shi,Customer,xu-zhou
yan-cheng-shi,Customer,yan-cheng
yang-zhou-shi,Customer,yang-zhou
zhen-jiang-shi,Customer,zhen-jiang
gan-zhou-shi,Customer,gan-zhou
jiu-jiang-shi,Customer,jiu-jiang
nan-chang-shi,Customer,nan-chang
shang-rao-shi,Customer,shang-rao
an-shan-shi,Customer,an-shan
da-lian-shi,Customer,da-lian
shen-yang-shi,Customer,shen-yang
bao-tou-shi,Customer,bao-tou
hu-he-hao-te-shi,Customer,hu-he-hao-te
de-zhou-shi,Customer,de-zhou
dong-ying-shi,Customer,dong-ying
he-ze-shi,Customer,he-ze
ji-nan-shi,Customer,ji-nan
ji-ning-shi,Customer,ji-ning
liao-cheng-shi,Customer,liao-cheng
lin-yi-shi,Customer,lin-yi
qing-dao-shi,Customer,qing-dao
ri-zhao-shi,Customer,ri-zhao
tai-an-shi,Customer,tai-an
wei-hai-shi,Customer,wei-hai
wei-fang-shi,Customer,wei-fang
yan-tai-shi,Customer,yan-tai
zi-bo-shi,Customer,zi-bo
lin-fen-shi,Customer,lin-fen
tai-yuan-shi,Customer,tai-yuan
yun-cheng-shi,Customer,yun-cheng
xi-an-shi,Customer,xi-an
xian-yang-shi,Customer,xian-yang
shang-hai-shi,Customer,shang-hai
cheng-du-shi,Customer,cheng-du
mian-yang-shi,Customer,mian-yang
tian-jin-shi,Customer,tian-jin
kun-ming-shi,Customer,kun-ming
hang-zhou-shi,Customer,hang-zhou
hu-zhou-shi,Customer,hu-zhou
jia-xing-shi,Customer,jia-xing
jin-hua-shi,Customer,jin-hua
ning-bo-shi,Customer,ning-bo
shao-xing-shi,Customer,shao-xing
tai-zhou-shi,Customer,tai-zhou
wen-zhou-shi,Customer,wen-zhou
chong-qing-shi,Customer,chong-qing
nei-lu-CDC-suo-zai-cheng-shi,Customer,nei-lu-CDC-suo-zai-cheng-shi
gang-kou-CDC-suo-zai-cheng-shi,Customer,gang-kou-CDC-suo-zai-cheng-shi
