Name,Type,Location
cheng-du-DC,RDC,cheng-du
dong-guan-DC,RDC,dong-guan
guang-zhou-DC,RDC,guang-zhou
nei-lu-CDC,CDC,nei-lu-CDC-suo-zai-cheng-shi
nan-jing-DC,RDC,nan-jing
qing-dao-DC,RDC,qing-dao
gang-kou-CDC,CDC,gang-kou-CDC-suo-zai-cheng-shi
shang-hai-DC,RDC,shang-hai
shen-zhen-DC,RDC,shen-zhen
tian-jin-DC,RDC,tian-jin
xi-an-DC,RDC,xi-an
chang-sha-DC,RDC,chang-sha
zheng-zhou-DC,RDC,zheng-zhou
hang-zhou-DC,RDC,hang-zhou
wu-han-DC,RDC,wu-han
da-lian-DC,RDC,da-lian
ha-er-bin-DC,RDC,ha-er-bin
shang-dou-Factory,Factory,shang-dou
bei-jing-DC,RDC,bei-jing
ning-bo-DC,RDC,ning-bo
chong-qing-DC,RDC,chong-qing
jin-kou-xu-ni-gong-chang,Factory,jin-kou-xu-ni
