atmid,deposit,withdraw,day
atm0,0,0,Wednesday
atm350001,0,0,Wednesday
atm350002,0,0,Wednesday
atm350003,0,0,Wednesday
atm350004,0,0,Wednesday
atm350005,0,0,Wednesday
atm350006,0,0,Wednesday
atm350007,0,0,Wednesday
atm350008,0,0,Wednesday
atm350009,0,0,Wednesday
atm3500010,0,0,Wednesday
atm3500011,0,0,Wednesday
atm3500012,0,0,Wednesday
atm3500013,0,0,Wednesday
atm3500014,0,0,Wednesday
atm3500015,0,0,Wednesday
atm3500016,0,0,Wednesday
atm3500017,0,0,Wednesday
atm3500018,0,0,Wednesday
atm3500019,0,0,Wednesday
atm3500020,0,0,Wednesday
atm3500021,0,0,Wednesday
atm3500022,0,0,Wednesday
atm3500023,0,0,Wednesday
atm3500024,0,0,Wednesday
atm3500025,0,0,Wednesday
atm3500026,0,0,Wednesday
atm3500027,0,0,Wednesday
atm3500028,0,0,Wednesday
atm3500029,0,0,Wednesday
atm3500030,0,0,Wednesday
atm3500031,0,0,Wednesday
atm3500032,0,0,Wednesday
atm3500033,0,0,Wednesday
atm3500034,0,0,Wednesday
atm3500035,0,0,Wednesday
atm3500062,0,0,Wednesday
atm3500063,0,0,Wednesday
atm3500064,0,0,Wednesday
atm3500065,0,0,Wednesday
atm35000230,0,0,Wednesday
atm35000231,0,0,Wednesday
atm35000232,0,0,Wednesday
atm35000233,0,0,Wednesday
atm35000234,0,0,Wednesday
atm35000235,0,0,Wednesday
atm35000236,0,0,Wednesday
atm35000237,0,0,Wednesday
atm35000238,0,0,Wednesday
atm35000239,0,0,Wednesday
atm35000240,0,0,Wednesday
atm35000241,0,0,Wednesday
atm35000242,0,0,Wednesday
atm35000243,0,0,Wednesday
atm35000244,0,0,Wednesday
atm35000245,0,0,Wednesday
atm35000246,0,0,Wednesday
atm35000247,0,0,Wednesday
atm35000248,0,0,Wednesday
atm35000249,0,0,Wednesday
atm35000250,0,0,Wednesday
atm35000251,0,0,Wednesday
atm35000252,0,0,Wednesday
atm35000253,0,0,Wednesday
atm35000254,0,0,Wednesday
atm35000255,0,0,Wednesday
atm35000256,0,0,Wednesday
atm35000257,0,0,Wednesday
atm35000258,0,0,Wednesday
atm35000259,0,0,Wednesday
atm35000260,0,0,Wednesday
atm35000261,0,0,Wednesday
atm35000262,0,0,Wednesday
atm35000263,0,0,Wednesday
atm35000264,670,1180,Wednesday
atm3500036,575,815,Wednesday
atm3500037,925,500,Wednesday
atm3500038,640,490,Wednesday
atm3500039,905,275,Wednesday
atm3500040,745,600,Wednesday
atm3500041,865,200,Wednesday
atm3500042,0,765,Wednesday
atm3500043,445,1250,Wednesday
atm3500044,565,975,Wednesday
atm3500045,810,1330,Wednesday
atm3500046,40,900,Wednesday
atm3500047,200,1490,Wednesday
atm3500048,50,915,Wednesday
atm3500049,1125,815,Wednesday
atm3500050,375,420,Wednesday
atm3500051,665,1105,Wednesday
atm3500052,255,10,Wednesday
atm3500053,925,1185,Wednesday
atm3500054,70,880,Wednesday
atm3500055,1110,580,Wednesday
atm3500056,6825,5795,Wednesday
atm3500057,305,1055,Wednesday
atm3500058,765,255,Wednesday
atm3500059,585,5,Wednesday
atm3500060,520,600,Wednesday
atm3500061,50,455,Wednesday
atm3500066,1335,25,Wednesday
atm3500067,210,465,Wednesday
atm3500068,240,495,Wednesday
atm3500069,1470,950,Wednesday
atm3500070,375,480,Wednesday
atm3500071,1405,50,Wednesday
atm3500072,1250,0,Wednesday
atm3500073,815,875,Wednesday
atm3500074,0,440,Wednesday
atm3500075,215,350,Wednesday
atm3500076,4900,4635,Wednesday
atm3500077,1030,1140,Wednesday
atm3500078,815,750,Wednesday
atm3500079,245,625,Wednesday
atm3500080,375,845,Wednesday
atm3500081,600,160,Wednesday
atm3500082,340,220,Wednesday
atm3500083,6220,6240,Wednesday
atm3500084,1050,180,Wednesday
atm3500085,865,390,Wednesday
atm3500086,280,595,Wednesday
atm3500087,7150,5115,Wednesday
atm3500088,320,745,Wednesday
atm3500089,755,305,Wednesday
atm3500090,1475,1365,Wednesday
atm3500091,660,5,Wednesday
atm3500092,185,0,Wednesday
atm3500093,1065,75,Wednesday
atm3500094,0,175,Wednesday
atm3500095,20,730,Wednesday
atm3500096,910,875,Wednesday
atm3500097,100,285,Wednesday
atm3500098,1305,190,Wednesday
atm3500099,475,220,Wednesday
atm35000100,1095,155,Wednesday
atm35000101,1110,0,Wednesday
atm35000102,0,170,Wednesday
atm35000103,715,1575,Wednesday
atm35000104,325,1520,Wednesday
atm35000105,1090,445,Wednesday
atm35000106,545,320,Wednesday
atm35000107,1080,465,Wednesday
atm35000108,775,255,Wednesday
atm35000109,975,250,Wednesday
atm35000110,270,0,Wednesday
atm35000111,570,740,Wednesday
atm35000112,745,455,Wednesday
atm35000113,1005,485,Wednesday
atm35000114,585,675,Wednesday
atm35000115,1010,1170,Wednesday
atm35000116,290,685,Wednesday
atm35000117,460,15,Wednesday
atm35000118,1040,1350,Wednesday
atm35000119,885,390,Wednesday
atm35000120,1490,20,Wednesday
atm35000121,855,435,Wednesday
atm35000122,1155,0,Wednesday
atm35000123,805,855,Wednesday
atm35000124,3805,5550,Wednesday
atm35000125,285,20,Wednesday
atm35000126,775,235,Wednesday
atm35000127,340,220,Wednesday
atm35000128,820,300,Wednesday
atm35000129,910,465,Wednesday
atm35000130,70,5,Wednesday
atm35000131,0,225,Wednesday
atm35000132,955,740,Wednesday
atm35000133,450,1380,Wednesday
atm35000134,1445,675,Wednesday
atm35000135,450,1330,Wednesday
atm35000136,605,200,Wednesday
atm35000137,5,500,Wednesday
atm35000138,980,985,Wednesday
atm35000139,585,510,Wednesday
atm35000140,1210,580,Wednesday
atm35000141,1215,1250,Wednesday
atm35000142,460,1245,Wednesday
atm35000143,780,0,Wednesday
atm35000144,1385,390,Wednesday
atm35000145,450,715,Wednesday
atm35000146,1195,1055,Wednesday
atm35000147,25,300,Wednesday
atm35000148,1000,905,Wednesday
atm35000149,1505,375,Wednesday
atm35000150,20,700,Wednesday
atm35000151,1360,660,Wednesday
atm35000152,640,1095,Wednesday
atm35000153,270,180,Wednesday
atm35000154,185,1070,Wednesday
atm35000155,1190,1305,Wednesday
atm35000156,685,825,Wednesday
atm35000157,540,1110,Wednesday
atm35000158,1120,120,Wednesday
atm35000159,305,895,Wednesday
atm35000160,405,0,Wednesday
atm35000161,430,90,Wednesday
atm35000162,1095,30,Wednesday
atm35000163,65,20,Wednesday
atm35000164,405,365,Wednesday
atm35000165,390,0,Wednesday
atm35000166,400,1255,Wednesday
atm35000167,3415,5655,Wednesday
atm35000168,4640,4215,Wednesday
atm35000169,820,420,Wednesday
atm35000170,610,875,Wednesday
atm35000171,805,60,Wednesday
atm35000172,325,1415,Wednesday
atm35000173,70,1380,Wednesday
atm35000174,285,960,Wednesday
atm35000175,100,55,Wednesday
atm35000176,305,775,Wednesday
atm35000177,295,210,Wednesday
atm35000178,1415,875,Wednesday
atm35000179,305,320,Wednesday
atm35000180,1695,1085,Wednesday
atm35000181,50,1040,Wednesday
atm35000182,1200,340,Wednesday
atm35000183,295,525,Wednesday
atm35000184,765,665,Wednesday
atm35000185,1305,535,Wednesday
atm35000186,955,20,Wednesday
atm35000187,350,160,Wednesday
atm35000188,1235,185,Wednesday
atm35000189,510,205,Wednesday
atm35000190,625,380,Wednesday
atm35000191,1110,980,Wednesday
atm35000192,600,5,Wednesday
atm35000193,1285,70,Wednesday
atm35000194,160,460,Wednesday
atm35000195,540,885,Wednesday
atm35000196,165,230,Wednesday
atm35000197,1165,615,Wednesday
atm35000198,1010,895,Wednesday
atm35000199,590,0,Wednesday
atm35000200,460,190,Wednesday
atm35000201,205,20,Wednesday
atm35000202,0,0,Wednesday
atm35000203,550,355,Wednesday
atm35000204,460,475,Wednesday
atm35000205,1475,1220,Wednesday
atm35000206,6305,6705,Wednesday
atm35000207,1725,755,Wednesday
atm35000208,1565,1560,Wednesday
atm35000209,100,490,Wednesday
atm35000210,1300,0,Wednesday
atm35000211,1610,385,Wednesday
atm35000212,210,110,Wednesday
atm35000213,485,1590,Wednesday
atm35000214,100,300,Wednesday
atm35000215,1260,895,Wednesday
atm35000216,1390,800,Wednesday
atm35000217,1470,110,Wednesday
atm35000218,0,175,Wednesday
atm35000219,905,715,Wednesday
atm35000220,525,1660,Wednesday
atm35000221,110,255,Wednesday
atm35000222,50,175,Wednesday
atm35000223,195,675,Wednesday
atm35000224,500,455,Wednesday
atm35000225,0,305,Wednesday
atm35000226,640,790,Wednesday
atm35000227,3755,5610,Wednesday
atm35000228,1220,635,Wednesday
atm35000229,0,250,Wednesday
atm35000265,1150,530,Wednesday
atm35000266,560,25,Wednesday
atm35000267,355,0,Wednesday
atm35000268,480,930,Wednesday
atm35000269,40,200,Wednesday
atm35000270,740,1015,Wednesday
atm35000271,985,280,Wednesday
atm35000272,6350,5110,Wednesday
atm35000273,645,1500,Wednesday
atm35000274,4230,6090,Wednesday
atm35000275,5595,4545,Wednesday
atm35000276,0,590,Wednesday
atm35000277,250,875,Wednesday
atm35000278,985,1145,Wednesday
atm35000279,715,340,Wednesday
atm35000280,1635,505,Wednesday
atm35000281,390,505,Wednesday
atm35000282,1265,150,Wednesday
atm35000283,1250,1540,Wednesday
atm35000284,900,200,Wednesday
atm35000285,680,415,Wednesday
atm35000286,970,0,Wednesday
atm35000287,1475,50,Wednesday
atm35000288,690,860,Wednesday
atm35000289,30,375,Wednesday
atm35000290,1065,1055,Wednesday
atm35000291,200,50,Wednesday
atm35000292,1430,155,Wednesday
atm35000293,1240,185,Wednesday
atm35000294,1775,1230,Wednesday
atm35000295,1120,660,Wednesday
atm35000296,160,1030,Wednesday
atm35000297,510,805,Wednesday
atm35000298,915,1100,Wednesday
atm35000299,940,585,Wednesday
atm35000300,1005,495,Wednesday
atm35000301,775,30,Wednesday
atm35000302,120,710,Wednesday
atm35000303,260,515,Wednesday
atm35000304,570,810,Wednesday
atm35000305,100,870,Wednesday
atm35000306,725,320,Wednesday
atm35000307,1110,600,Wednesday
atm35000308,710,735,Wednesday
atm35000309,1255,795,Wednesday
atm35000310,880,45,Wednesday
atm35000311,265,20,Wednesday
atm35000312,1740,230,Wednesday
atm35000313,450,785,Wednesday
atm35000314,3720,7385,Wednesday
atm35000315,10,550,Wednesday
atm35000316,1070,1165,Wednesday
atm35000317,4790,7130,Wednesday
atm35000318,425,820,Wednesday
atm35000319,1215,1115,Wednesday
atm35000320,5,355,Wednesday
atm35000321,450,320,Wednesday
atm35000322,1395,770,Wednesday
atm35000323,200,1090,Wednesday
atm35000324,1185,30,Wednesday
atm35000325,1155,995,Wednesday
atm35000326,10,50,Wednesday
