Location,中文名称
he-ze,菏泽
ji-ning,济宁
zhu-hai,珠海
liao-cheng,聊城
de-zhou,德州
zhong-shan,中山
shen-zhen,深圳
wei-fang,潍坊
ri-zhao,日照
shan-tou,汕头
tai-an,泰安
dong-guan,东莞
wei-hai,威海
lin-yi,临沂
yan-tai,烟台
zi-bo,淄博
qing-dao,青岛
ji-nan,济南
dong-ying,东营
zhen-jiang,镇江
fo-shan,佛山
jia-xing,嘉兴
chang-zhou,常州
wu-xi,无锡
jie-yang,揭阳
tai-zhou,泰州
hu-zhou,湖州
wu-hu,芜湖
shang-hai,上海
nan-jing,南京
yang-zhou,扬州
tai-yuan,太原
nan-chang,南昌
guang-zhou,广州
zheng-zhou,郑州
lian-yun-gang,连云港
gui-yang,贵阳
xin-xiang,新乡
shao-xing,绍兴
bo-zhou,亳州
wu-han,武汉
su-qian,宿迁
su-zhou,苏州
an-shan,鞍山
tai-zhou,台州
jiang-men,江门
fu-yang,阜阳
su-zhou,宿州
ning-bo,宁波
huai-an,淮安
xi-an,西安
xian-yang,咸阳
nan-tong,南通
shang-qiu,商丘
jin-hua,金华
hui-zhou,惠州
quan-zhou,泉州
he-fei,合肥
tian-jin,天津
fu-zhou,福州
xu-zhou,徐州
chang-sha,长沙
zhou-kou,周口
han-dan,邯郸
wen-zhou,温州
cheng-du,成都
xing-tai,邢台
zhan-jiang,湛江
zhang-zhou,漳州
shen-yang,沈阳
da-lian,大连
lan-zhou,兰州
chu-zhou,滁州
cang-zhou,沧州
ning-de,宁德
tang-shan,唐山
yun-cheng,运城
lu-an,六安
luo-yang,洛阳
heng-yang,衡阳
shi-jia-zhuang,石家庄
bei-jing,北京
hang-zhou,杭州
yan-cheng,盐城
hu-he-hao-te,呼和浩特
xin-yang,信阳
jiu-jiang,九江
xiang-yang,襄阳
mian-yang,绵阳
lin-fen,临汾
chang-chun,长春
kun-ming,昆明
nan-ning,南宁
bao-ding,保定
shang-rao,上饶
nan-yang,南阳
bao-tou,包头
ji-lin,吉林
zhang-jia-kou,张家口
gan-zhou,赣州
cheng-de,承德
chong-qing,重庆
nei-lu-CDC-suo-zai-cheng-shi,内陆CDC所在城市
gang-kou-CDC-suo-zai-cheng-shi,港口CDC所在城市
jin-kou-xu-ni,进口虚拟
da-qing,大庆
ha-er-bin,哈尔滨
shang-dou,商都
